ka_code,ka_name,ku_name,description
AI,Artificial Intelligence,Fundamental Issues,"Explore the fundamental issues of artificial intelligence, including the nature of intelligence, whether machines can possess consciousness, and the ethical and philosophical questions surrounding artificial intelligence."
AI,Artificial Intelligence,Search,"Exploring search problems in the field of artificial intelligence, involving the representation of state spaces, graph search algorithms (such as depth-first search, breadth-first search, A* search), and heuristic search strategies, used to solve tasks such as path planning and problem-solving."
AI,Artificial Intelligence,Fundamental Knowledge Representation and Reasoning,"Discussing the fundamental methods of knowledge representation and reasoning techniques, including predicate logic, propositional logic, semantic networks, production systems, and the resolution principle, as well as their applications in the field of artificial intelligence, such as expert systems and automated theorem proving."
AI,Artificial Intelligence,Machine Learning,"Explore the fundamental theories, algorithms, and applications of machine learning, including but not limited to supervised learning, unsupervised learning, reinforcement learning, deep learning, and their key roles in pattern recognition, natural language processing, computer vision, and other fields."
AI,Artificial Intelligence,Applications and Societal Impact,"Explore the applications of artificial intelligence technology in various fields, including but not limited to healthcare, finance, education, transportation, and entertainment, as well as the profound impact these applications have on society, economy, and culture. Address social issues such as ethics, privacy, employment, and law, and how artificial intelligence can promote sustainable development and address global challenges."
AI,Artificial Intelligence,Probabilistic Representation and Reasoning,"Discussing probabilistic representation and reasoning techniques, including Bayesian networks, Markov decision processes, hidden Markov models, and probabilistic graphical models, as well as their applications in handling uncertainty, decision-making, and prediction."
AI,Artificial Intelligence,Planning,"Discussing planning problems in the field of artificial intelligence, involving state space search, heuristic algorithms, constraint satisfaction problems, and optimization problems. Introducing how to use graph search, tree search, and logical reasoning to construct and solve planning problems, as well as how to evaluate and select the optimal path or strategy."
AI,Artificial Intelligence,Logical Representation and Reasoning,"Explore logical representation and reasoning techniques, including propositional logic, predicate logic, logical inference rules, and their applications in knowledge representation and automated reasoning."
AI,Artificial Intelligence,Agents and Cognitive Systems,"Discussing the design and implementation of intelligent agents and cognitive systems, as well as their applications in the field of artificial intelligence. This includes the autonomy and interactivity of intelligent agents, and the perception, reasoning, and learning mechanisms of cognitive systems, encompassing key technologies such as rule-based systems, machine learning models, and neural networks in simulating human cognitive processes."
AI,Artificial Intelligence,Natural Language Processing,"Explore natural language processing technologies, including language models, semantic analysis, machine translation, speech recognition and generation, text mining, and the design and implementation of dialogue systems."
